aid,title,more_info,Class,Aids or not,publication_date,source_name,country,extracted_organizations,extracted_locations,url
2.02E+16,Forthcoming U.N. Meeting Urged to Help End Conflict in Congo,Forthcoming U.N. Meeting Urged to Help End Conflict in Congo U.N. Security Council|DRC|United Nations|Union for Democracy and Social Progress|UDSP|African National Congress|U.N.|Union for Democracy|Social Progress|Opposition|Rebels|South African|African|Zambian,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"Democratic Republic of the Congo|Republic of South Africa, South Africa|United States",U.N. Security Council|DRC|United Nations|Union for Democracy and Social Progress|UDSP|African National Congress|U.N.|Union for Democracy|Social Progress|Opposition|Rebels|South African|African|Zambian,U.S.|DRC|South Africa|Democratic Republic of the Congo|Lusaka,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHH0-00RC-91P9-00000-00&context=1516831
2.02E+16,International Film Festival Opens In India,International Film Festival Opens In India IFFI|International Film Festival of India|Information and Broadcasting|American Indian,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"Republic of India, India",IFFI|International Film Festival of India|Information and Broadcasting|American Indian,India,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHH0-00RC-91RK-00000-00&context=1516831
2.02E+16,Samaranch to Meet with Swiss Ministers,Samaranch to Meet with Swiss Ministers Ogi|Sion|International Olympic Committee|European Union|IOC|Italian|European|Swiss,Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,Switzerland,Ogi|Sion|International Olympic Committee|European Union|IOC|Italian|European|Swiss,Bern|Turin|Olympic Museum|Lausanne|Switzerland,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHJ0-00RC-91VD-00000-00&context=1516831
2.02E+16,South African Miners Trapped Underground,South African Miners Trapped Underground African Press Association|African Rainbow Minerals|South African|African,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,,African Press Association|African Rainbow Minerals|South African|African,North West Province|Orkney,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHJ0-00RC-91VX-00000-00&context=1516831
2.02E+16,10 Banks in Indonesia to be Merged,"10 Banks in Indonesia to be Merged Bank Danamon|Bank PDFCI and Bank Tiara|CAR|Antara News Agency|Bank PDFCI , Bank Nusa Nasional , Bank Tiara , Bank Rama , Bank Pos , Bank Duta , Bank Tamara , Bank Risjad Salim Internasional and Bank Jaya|Bank Indonesia|IBRA|Ministry of Law and Legal Affairs|Indonesian Bank Restructuring Agency|International Monetary Fund|Indonesian Capital Market Supervisory Agency|Indonesian",Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,United States,"Bank Danamon|Bank PDFCI and Bank Tiara|CAR|Antara News Agency|Bank PDFCI , Bank Nusa Nasional , Bank Tiara , Bank Rama , Bank Pos , Bank Duta , Bank Tamara , Bank Risjad Salim Internasional and Bank Jaya|Bank Indonesia|IBRA|Ministry of Law and Legal Affairs|Indonesian Bank Restructuring Agency|International Monetary Fund|Indonesian Capital Market Supervisory Agency|Indonesian",U.S.|IBRA,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y5-00000-00&context=1516831
2.02E+16,1st Purely Online Banking-Brokerage Company Approved in U.S.,1st Purely Online Banking-Brokerage Company Approved in U.S. U.S. Federal|Telebanc Financial Corp.|Office of Thrift Supervision|ETrade Group Inc.|Website|Loan Inc.|ETrade|Telebanc for,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,,U.S. Federal|Telebanc Financial Corp.|Office of Thrift Supervision|ETrade Group Inc.|Website|Loan Inc.|ETrade|Telebanc for,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y6-00000-00&context=1516831
2.02E+16,Adams Calls for Continued U.S. Support for N.Irish peace,Adams Calls for Continued U.S. Support for N.Irish peace IRA|Sinn Fein|Irish Republican Army|British|Republican Army,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"United Kingdom of Great Britain and Northern Ireland, United Kingdom|United States",IRA|Sinn Fein|Irish Republican Army|British|Republican Army,U.S.|Belfast|Britain|Northern Ireland|Washington,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y8-00000-00&context=1516831
2.02E+16,Albanian Police Seize Large Quantity of Marijuana,Albanian Police Seize Large Quantity of Marijuana Albanian,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"Hellenic Republic, Greece",Albanian,Greece|Kapshtica,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y9-00000-00&context=1516831
2.02E+16,Algerian President Pardons Militant Islamic Group,Algerian President Pardons Militant Islamic Group Civil Reconciliation Law|Islamic Salvation Army|AIS|Islamic Salvation Front|Islamic Front For Salvation|Algerian|Militants|African,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,,Civil Reconciliation Law|Islamic Salvation Army|AIS|Islamic Salvation Front|Islamic Front For Salvation|Algerian|Militants|African,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YB-00000-00&context=1516831
2.02E+16,All 10 on Board Swiss Crossair Saab-340 Killed in Crash,All 10 on Board Swiss Crossair Saab-340 Killed in Crash Crossair|Swiss Radio International|French|Swiss,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"Federal Republic of Germany, Germany",Crossair|Swiss Radio International|French|Swiss,Dresden|Zurich|Kloten|Germany,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YC-00000-00&context=1516831
2.02E+16,American Qualifer Scores Upset in New Zealand,American Qualifer Scores Upset in New Zealand American|Czech|Gorani,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"Republic of Croatia, Croatia|Czechia|Kingdom of Sweden, Sweden|Kingdom of the Netherlands, Netherlands|New Zealand",American|Czech|Gorani,New Zealand|Netherlands|Sweden|Czech Republic|Auckland|Croatia,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YD-00000-00&context=1516831
2.02E+16,Annan Meets Security Council on Candidates For Chairman of UNMOVIC,"Annan Meets Security Council on Candidates For Chairman of UNMOVIC United Nations Security Council|Security Council|United Nations Monitoring , Verification and Inspection Commission|United Nations Special Commission|UNMOVIC|UNSCOM|U.N.|United Nations",Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"Russian Federation, Russia|Republic of France, France|Republic of Iraq, Iraq|United Kingdom of Great Britain and Northern Ireland, United Kingdom|People's Republic of China, China|United States","United Nations Security Council|Security Council|United Nations Monitoring , Verification and Inspection Commission|United Nations Special Commission|UNMOVIC|UNSCOM|U.N.|United Nations",U.S.|United States|China|Britain|Iraq|France|Russia,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YF-00000-00&context=1516831
2.02E+16,Argentine Stocks Down,Argentine Stocks Down Buenos Aires Exchange|Argentine,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,United States,Buenos Aires Exchange|Argentine,U.S.,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YG-00000-00&context=1516831
2.02E+16,Article on Cyprus by Senior Greek Official Draws Criticism,Article on Cyprus by Senior Greek Official Draws Criticism EDEK|Democratic Rally|U.N.|Opposition|Cypriot|Greek,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"Republic of Cyprus, Cyprus|Hellenic Republic, Greece",EDEK|Democratic Rally|U.N.|Opposition|Cypriot|Greek,Greece|Turkey|Cyprus|Athens,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YH-00000-00&context=1516831
2.02E+16,Australian Dollar Closes Fractionally down,Australian Dollar Closes Fractionally down Australian|Japanese,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,United States,Australian|Japanese,U.S.,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YJ-00000-00&context=1516831
2.02E+16,Australian Share Market Gallops to Record High,Australian Share Market Gallops to Record High Westpac|Commonwhealth|America Online Inc|Time Warner|News Corp. The News Corp|ANZ|NAB|Australian|Temne,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,United States,Westpac|Commonwhealth|America Online Inc|Time Warner|News Corp. The News Corp|ANZ|NAB|Australian|Temne,U.S.,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YK-00000-00&context=1516831
2.02E+16,Bangkok Rubber Prices,Bangkok Rubber Prices ,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,,,Bangkok|U.S,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YM-00000-00&context=1516831
2.02E+16,"Bangladesh, Myanmar to Discuss Refugee Issue","Bangladesh, Myanmar to Discuss Refugee Issue BSS|Home Ministry|Bazar|Foreign Ministry|Relief Ministry|Bangladeshi",Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"Bangladesh|Union of Burma, Myanmar",BSS|Home Ministry|Bazar|Foreign Ministry|Relief Ministry|Bangladeshi,Myanmar|Bangladesh|Arakan|Yangon|Bandarban,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YN-00000-00&context=1516831
2.02E+16,Barak Returns to Israel to Face Stiff Opposition,Barak Returns to Israel to Face Stiff Opposition Golan Residents Committee|Yisrael Ba'aliya|Construction and Housing|Israeli|American|Opposition|Syrian,Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"Syrian Arab Republic, Syria|State of Israel, Israel|United States|Lebanon",Golan Residents Committee|Yisrael Ba'aliya|Construction and Housing|Israeli|American|Opposition|Syrian,Lebanon|Golan Heights|Tel Aviv|Rabin Square|U.S.|United States|Israel|Golan|Syria,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YP-00000-00&context=1516831
2.02E+16,Beijing is Becoming Cleaner,Beijing is Becoming Cleaner State Environmental Protection Administration|Eighth Municipal Committee|SEPA|Beijing Evening News|Communist Party,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,,State Environmental Protection Administration|Eighth Municipal Committee|SEPA|Beijing Evening News|Communist Party,Beijing,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YR-00000-00&context=1516831
2.02E+16,Beijing to Get Tough on Unlawful Officials,Beijing to Get Tough on Unlawful Officials Xinhua|Chinese,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,United States,Xinhua|Chinese,Beijing|U.S.,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YS-00000-00&context=1516831
2.02E+16,Britain Says Pinochet May Not be Fit For Trial: BBC,Britain Says Pinochet May Not be Fit For Trial: BBC BBC|Home Office|Teletext|British|Chilean|Spanish,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"Kingdom of Spain, Spain",BBC|Home Office|Teletext|British|Chilean|Spanish,Spain,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YT-00000-00&context=1516831
2.02E+16,British Boxing Board Reject Criticism Over Jones Issue,British Boxing Board Reject Criticism Over Jones Issue WBO|British Boxing Board of Control|British|Migrants Rights International,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,,WBO|British Boxing Board of Control|British|Migrants Rights International,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YV-00000-00&context=1516831
2.02E+16,CAS Students Receive Scholarships,CAS Students Receive Scholarships Chinese Academy of Sciences|CAS|Institute of Applied Mathematics of the CAS|Chinese,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,,Chinese Academy of Sciences|CAS|Institute of Applied Mathematics of the CAS|Chinese,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YW-00000-00&context=1516831
2.02E+16,COMESA to Decide Tariff Itself,COMESA to Decide Tariff Itself Eastern and Southern Africa|COMESA|CET|The Common Market|Zambia Daily Mail,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,,Eastern and Southern Africa|COMESA|CET|The Common Market|Zambia Daily Mail,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YX-00000-00&context=1516831
2.02E+16,"CPPCC Delegation Leaves for Thailand, Cambodia","CPPCC Delegation Leaves for Thailand, Cambodia Cambodian National Assembly|Senate|CPPCC|CPPCC National Committee|Cambodian|Chinese|Thai",Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"Kingdom of Thailand, Thailand|Kingdom of Cambodia, Cambodia",Cambodian National Assembly|Senate|CPPCC|CPPCC National Committee|Cambodian|Chinese|Thai,Cambodia|Thailand,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YY-00000-00&context=1516831
2.02E+16,CPPCC Vice-Chairman Meets Hong Kong Delegation,CPPCC Vice-Chairman Meets Hong Kong Delegation Communist Party of China Central Committee|CPPCC|National Committee|United Front Work Department|Communist|Hong Konger|Chinese|Dungan,Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China|Hong Kong Special Administrative Region, Hong Kong",Communist Party of China Central Committee|CPPCC|National Committee|United Front Work Department|Communist|Hong Konger|Chinese|Dungan,Hong Kong|China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9200-00000-00&context=1516831
2.02E+16,Canada Announces 1.5 Mln U.S. Dlrs in Food Aid to Cambodia,Canada Announces 1.5 Mln U.S. Dlrs in Food Aid to Cambodia World Food Program|Canadian International Development Agency|International Cooperation|Canadian,Economy,1,2000-01-11T00:00:00Z,BulkLexisNexis,"Kingdom of Cambodia, Cambodia|United States",World Food Program|Canadian International Development Agency|International Cooperation|Canadian,Canada|Southeast Asia|U.S.|Cambodia,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9203-00000-00&context=1516831
2.02E+16,Canadian Body Rules Sikh Boxer can Keep Beard,Canadian Body Rules Sikh Boxer can Keep Beard AIBA|Nagra|Amateur International Boxing Association|Sikh|Canadian,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,,AIBA|Nagra|Amateur International Boxing Association|Sikh|Canadian,Canada|Ontario,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9204-00000-00&context=1516831
2.02E+16,Chengdu to Host Folk Art Exhibition in April,Chengdu to Host Folk Art Exhibition in April China Association of Folk Artists|China Federation of Literary and Art Circles|Chinese,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",China Association of Folk Artists|China Federation of Literary and Art Circles|Chinese,Sichuan Federation of Literary|Sichuan Province|Chengdu|China|Sichuan Museum,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9205-00000-00&context=1516831
2.02E+16,China Actively Preparing for Spring Festival Season Travel,China Actively Preparing for Spring Festival Season Travel Ministry of Communications|Civil Aviation Administration of China|Lunar New Year Festival|CAAC|Ministry of Railways,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Ministry of Communications|Civil Aviation Administration of China|Lunar New Year Festival|CAAC|Ministry of Railways,China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9206-00000-00&context=1516831
2.02E+16,China Concerned over Expulsion of Boats by Philippine Military,China Concerned over Expulsion of Boats by Philippine Military Foreign Ministry|Chinese,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Foreign Ministry|Chinese,China|Huangyan Island,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9207-00000-00&context=1516831
2.02E+16,China Develops Potash Fertilizer Resources,China Develops Potash Fertilizer Resources Qinghai Yanhu Industrial Group,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Qinghai Yanhu Industrial Group,China|Qinghai Province|Qinghai|Qaidam Basin,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9208-00000-00&context=1516831
2.02E+16,China Discovers Genetic Makeup of Fatal Prawn Virus,China Discovers Genetic Makeup of Fatal Prawn Virus No. 3 Institute|Ministry of Science and Technology|State Oceanic Administration|Fujian Provincial Government|State Human Genome Northern Center|Chinese Academy of Engineering|Pacific Islander|Chinese,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",No. 3 Institute|Ministry of Science and Technology|State Oceanic Administration|Fujian Provincial Government|State Human Genome Northern Center|Chinese Academy of Engineering|Pacific Islander|Chinese,Asia|China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-9209-00000-00&context=1516831
2.02E+16,China Doubles Newspaper Groups,China Doubles Newspaper Groups Yangcheng Evening News Group|Guangming Daily Group|State Press|Wenhui|Beijing Daily Group|Harbin Daily Group|Xinmin Group|Guangzhou Daily Group|Dazhong Newspaper Group|Shenyang Daily Group|Nanfang Daily Group|Publication Administration|Jiefang Daily Group|Shenzhen Newspaper Group|Sichuan Daily Group|Liaoning Daily Group|Zhejiang Daily Group|Economic Daily Group,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Yangcheng Evening News Group|Guangming Daily Group|State Press|Wenhui|Beijing Daily Group|Harbin Daily Group|Xinmin Group|Guangzhou Daily Group|Dazhong Newspaper Group|Shenyang Daily Group|Nanfang Daily Group|Publication Administration|Jiefang Daily Group|Shenzhen Newspaper Group|Sichuan Daily Group|Liaoning Daily Group|Zhejiang Daily Group|Economic Daily Group,China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920B-00000-00&context=1516831
2.02E+16,China Initiates Website for Copyright Protection,China Initiates Website for Copyright Protection China Copyright Protection Center|National People 's Congress Standing Committee,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",China Copyright Protection Center|National People 's Congress Standing Committee,China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920C-00000-00&context=1516831
2.02E+16,China Insurer Reports Excellent Performance In 1999,China Insurer Reports Excellent Performance In 1999 Standard & Poor's|China Pacific Insurance Company|China Pacific Insurance Co.,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Standard & Poor's|China Pacific Insurance Company|China Pacific Insurance Co.,Shanghai|China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920D-00000-00&context=1516831
2.02E+16,"China Mounts Fight Against Pirated Audio, Video Publications","China Mounts Fight Against Pirated Audio, Video Publications Chinese Ministry of Culture|General Administration of Customs|Zhuang|Chinese",Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Chinese Ministry of Culture|General Administration of Customs|Zhuang|Chinese,Nanning|China|Guangxi Zhuang Autonomous Region,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920F-00000-00&context=1516831
2.02E+16,China To Join U.N. Peace Mission In East Timor,China To Join U.N. Peace Mission In East Timor Chinese Ministry of Public Security|U.N. Security Council|United Nations|U.N. Charter|United Nations Transitional Administration|U.N.|Chinese,Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"Democratic Republic of Timor-Leste, East Timor|People's Republic of China, China",Chinese Ministry of Public Security|U.N. Security Council|United Nations|U.N. Charter|United Nations Transitional Administration|U.N.|Chinese,Beijing|China|East Timor|Timor,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920G-00000-00&context=1516831
2.02E+16,"China to Break Teachers' ""Iron Rice Bowl""","China to Break Teachers' ""Iron Rice Bowl"" Middle School|Beijing Municipal Education Bureau|Beijing No.|Chinese Ministry of Education|Chinese",Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Middle School|Beijing Municipal Education Bureau|Beijing No.|Chinese Ministry of Education|Chinese,Beijing|Shandong Province|Qingdao|China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920H-00000-00&context=1516831
2.02E+16,China to Build New Hydropower Project on Qingjiang River,China to Build New Hydropower Project on Qingjiang River State Development Planning Commission|Qingjiang River Hydropower Development Co. Ltd.|Shuibuya Hydropower Project|Shuibuya Project|Gaobazhou Hydropower Station,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",State Development Planning Commission|Qingjiang River Hydropower Development Co. Ltd.|Shuibuya Hydropower Project|Shuibuya Project|Gaobazhou Hydropower Station,Shuibuya|Three Gorges|Geheyan Hydropower Station|Shuibuya Hydropower Station|China|Qingjiang River|Hubei Province|Yangtze River,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920J-00000-00&context=1516831
2.02E+16,China to Help Key State Firms Use IT,China to Help Key State Firms Use IT State Economic and Trade Commission|Ministry of Information Industry|SETC|China Daily|MII|Enterprise Computerization Project,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,,State Economic and Trade Commission|Ministry of Information Industry|SETC|China Daily|MII|Enterprise Computerization Project,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920K-00000-00&context=1516831
2.02E+16,China to Host International Travel Mart,China to Host International Travel Mart CITM|National Tourism Administration|General Administration of Civil Aviation of China|Shanghai Municipal People 's Government|China International Travel Mart,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",CITM|National Tourism Administration|General Administration of Civil Aviation of China|Shanghai Municipal People 's Government|China International Travel Mart,CITM|Shanghai|Asia|China|US,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920M-00000-00&context=1516831
2.02E+16,China to Improve Safety Control of expressways in Bad Weather,China to Improve Safety Control of expressways in Bad Weather Ministry of Public Security,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Ministry of Public Security,China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920N-00000-00&context=1516831
2.02E+16,China to Tighten Administration of Medical Equipment,China to Tighten Administration of Medical Equipment State Drug Administration|State Council|Administration and Supervision of Medical Equipment|Chinese,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,,State Drug Administration|State Council|Administration and Supervision of Medical Equipment|Chinese,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920P-00000-00&context=1516831
2.02E+16,China's Auto Sales Slump: Paper,China's Auto Sales Slump: Paper State Administration of Machinery Industry|WTO|China Daily|World Trade Organization|Asian,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",State Administration of Machinery Industry|WTO|China Daily|World Trade Organization|Asian,Beijing|China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920R-00000-00&context=1516831
2.02E+16,China's Largest Museum of Stone Carving Opens,China's Largest Museum of Stone Carving Opens Chinese|Han Chinese,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",Chinese|Han Chinese,China|Henan Province|Nanyang,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920S-00000-00&context=1516831
2.02E+16,China's Tax Revenue Tops 1 Trillion Yuan in 1999,China's Tax Revenue Tops 1 Trillion Yuan in 1999 State Administration of Taxation|Information Office|State Council|Central Government,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,"People's Republic of China, China",State Administration of Taxation|Information Office|State Council|Central Government,China,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-920T-00000-00&context=1516831
2.02E+16,"China, Nigeria Sign Memorandum of Understanding","China, Nigeria Sign Memorandum of Understanding Foreign Affairs Dubem Onyia|Chinese|Nigerian|African",Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,"Federal Republic of Nigeria, Nigeria|Republic of Zimbabwe, Zimbabwe|Republic of Seychelles, Seychelles|Republic of Namibia, Namibia|People's Republic of China, China|Republic of Mozambique, Mozambique",Foreign Affairs Dubem Onyia|Chinese|Nigerian|African,Mozambique|China|Namibia|Seychelles|Zimbabwe|Nigeria,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHH0-00RC-920V-00000-00&context=1516831
