,country_mentioned,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,,6.21,6.12,6.89,8.46,8.94,9.66,6.46,7.02,7.01,7.62,7.77,8,7.45,7.51,7.04
2,"Ahvenanmaan Laeaeni, Aland Islands",NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,NA
3,"American Samoa, Territory of, American Samoa",0.01,0.01,0,0,0.01,0,0,0.01,0.02,0.02,0.01,0,0,0,0
4,Anguilla,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
5,Antarctica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.04
6,Antigua and Barbuda,0,0,0,0,0.01,0,0,0.01,0,0.01,0.01,0,0,0.01,0.01
7,"Arab Republic of Egypt, Egypt",1.14,1.13,1.04,1.01,1.16,1.07,0.84,0.92,0.75,1.05,0.71,1.33,1.07,1.48,0.83
8,"Argentine Republic, Argentina",0.51,0.66,0.79,0.63,0.83,0.77,0.66,0.52,0.81,0.54,0.55,0.45,0.44,0.48,0.52
9,Aruba,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
10,"Bailiwick of Guernsey, Guernsey",NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0
11,"Bailiwick of Jersey, Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bangladesh,0.46,0.33,0.34,0.41,0.46,0.52,0.46,0.56,0.35,0.7,0.6,0.43,0.35,0.37,0.32
13,Barbados,0.05,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
14,Belize,0.04,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
15,Bermuda,0.02,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0
16,"Bolivarian Republic of Venezuela, Venezuela",0.27,0.25,0.24,0.34,0.39,0.39,0.34,0.33,0.49,0.34,0.24,0.18,0.21,0.31,0.22
17,"Bonaire, Saint Eustatius and Saba, Bonaire, Saint Eustatius and Saba ",NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
18,Bosnia and Herzegovina,0.11,0.12,0.11,0.08,0.11,0.1,0.09,0.07,0.06,0.06,0.09,0.06,0.06,0.11,0.18
19,British Virgin Islands,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0
20,"Brunei Darussalam, Brunei",0.17,0.18,0.19,0.17,0.15,0.15,0.11,0.14,0.09,0.14,0.11,0.12,0.16,0.26,0.14
21,Burkina Faso,0.05,0.05,0.06,0.04,0.07,0.05,0.05,0.12,0.04,0.08,0.09,0.05,0.06,0.1,0.07
22,Cayman Islands,0.01,0,0.01,0,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0
23,Central African Republic,0.03,0.03,0.02,0.04,0.07,0.02,0.02,0.05,0.04,0.05,0.05,0.03,0.05,0.19,0.19
24,"Co-operative Republic of Guyana, Guyana",0.03,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01
25,"Commonwealth of Australia, Australia",1.36,1.25,1.09,1.06,1.3,1.37,1.33,1.21,1.44,1.46,1.73,1.85,1.37,1.37,1.58
26,"Commonwealth of The Bahamas, Bahamas",0.04,0.03,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.06,0.02,0.02,0.02,0.02,0.02
27,"Commonwealth of the Northern Mariana Islands, Northern Mariana Islands",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
28,Cook Islands,0.02,0.01,0,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.03,0.01,0.02
29,"Country of Curacao, Curacao",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
30,Czechia,0.38,0.39,0.33,0.33,0.49,0.51,0.52,0.57,0.64,0.48,0.33,0.37,0.39,0.33,0.43
31,"Czechoslovakia, Serbia and Montenegro",0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01
32,"Democratic People's Republic of Korea, North Korea",0.02,0.02,0.04,0.07,0.04,0.07,0.04,0.03,0.03,0.09,0.07,0.04,0.05,0.11,0.04
33,Democratic Republic of the Congo,0.56,0.57,0.44,0.38,0.38,0.3,0.32,0.34,0.18,0.21,0.23,0.19,0.24,0.27,0.19
34,"Democratic Republic of Timor-Leste, East Timor",0.21,0.11,0.21,0.11,0.08,0.07,0.09,0.04,0.03,0.03,0.05,0.03,0.04,0.02,0.02
35,"Democratic Socialist Republic of Sri Lanka, Sri Lanka",0.48,0.36,0.4,0.38,0.52,0.74,0.42,0.46,0.24,0.56,0.48,0.47,0.44,0.36,0.33
36,Dominica,0.01,0.01,0,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01
37,Dominican Republic,0.04,0.05,0.04,0.12,0.14,0.1,0.06,0.08,0.1,0.08,0.12,0.06,0.06,0.06,0.04
38,"Falkland Islands (Islas Malvinas), Falkland Islands",0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0
39,Faroe Islands,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0
40,"Federal Democratic Republic of Ethiopia, Ethiopia",0.49,0.35,0.31,0.33,0.33,0.33,0.35,0.32,0.17,0.19,0.21,0.26,0.32,0.3,0.29
41,"Federal Democratic Republic of Nepal, Patheka, Nepal",0.29,0.33,0.34,0.3,0.31,0.7,0.71,0.81,0.37,0.62,0.49,0.33,0.24,0.23,0.26
42,"Federal Republic of Germany, Germany",1.72,1.74,1.83,1.9,2.01,2.08,2.12,1.64,2.2,1.5,1.63,1.53,1.69,1.55,1.93
43,"Federal Republic of Nigeria, Nigeria",0.65,0.67,0.84,0.9,0.92,0.73,0.71,0.87,0.5,0.55,0.51,0.42,0.57,0.61,0.73
44,Federal Republic of Yugoslavia,0.48,0.41,0.24,0.11,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.03,0.04
45,"Federated States of Micronesia, Micronesia",0.02,0,0.01,0,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
46,"Federation of Saint Kitts and Nevis, Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
47,"Federative Republic of Brazil, Brazil",0.76,0.79,0.93,0.78,0.88,0.86,0.89,1,1.63,1.23,1.27,0.95,1.08,1.37,1.24
48,"Gabonese Republic, Gabon",0.05,0.05,0.05,0.05,0.09,0.06,0.05,0.05,0.05,0.09,0.06,0.08,0.1,0.08,0.04
49,Gambia,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03
50,Georgia,0.14,0.12,0.13,0.14,0.26,0.17,0.15,0.14,0.57,0.21,0.18,0.21,0.22,0.17,0.14
51,"German Democratic Republic, Germany",0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0
52,Gibraltar,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01
53,"Grand Duchy of Luxembourg, Luxembourg",0.15,0.12,0.12,0.1,0.15,0.25,0.14,0.12,0.14,0.11,0.11,0.11,0.13,0.11,0.12
54,Greenland,0,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
55,Grenada,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.04,0.03
56,Guadeloupe,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0
57,Guam,0.02,0.03,0.01,0.02,0.01,0.02,0.02,0.03,0.02,0.04,0.03,0.02,0.02,0.03,0.01
58,"Guyane, French Guiana",0.01,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
59,"Hashemite Kingdom of Jordan, Jordan",0.53,0.64,0.59,0.71,0.65,0.4,0.37,0.43,0.27,0.3,0.35,0.34,0.39,0.39,0.28
60,"Hellenic Republic, Greece",0.61,0.52,0.51,0.54,0.83,0.48,0.41,0.38,0.57,0.29,0.82,0.87,1.01,0.43,0.44
61,"Hong Kong Special Administrative Region, Hong Kong",2.19,2.18,2.84,2.81,2.85,3.21,2.38,2.31,2.7,2.26,1.96,1.82,1.74,1.72,1.81
62,Hungary,0.26,0.26,0.2,0.21,0.31,0.22,0.22,0.29,0.43,0.29,0.26,0.22,0.22,0.18,0.22
63,"Independent State of Papua New Guinea, Papua New Guinea",0.06,0.07,0.08,0.08,0.12,0.08,0.11,0.11,0.06,0.13,0.13,0.12,0.11,0.09,0.09
64,"Independent State of Samoa, Samoa",0.02,0.01,0.01,0.01,0.04,0.02,0.03,0.04,0.02,0.07,0.04,0.05,0.03,0.03,0.03
65,Ireland,0.17,0.24,0.26,0.19,0.25,0.2,0.15,0.13,0.23,0.2,0.26,0.34,0.25,0.18,0.24
66,"Islamic Republic of Afghanistan, Afghanistan",0.28,1.91,1.24,0.86,0.92,0.94,1.05,1.27,0.81,1.66,1.8,1.46,1.2,0.95,1.01
67,"Islamic Republic of Iran, Iran",0.98,0.84,0.88,1,0.89,1.15,1.75,1.37,0.84,1.31,1.31,1.1,1.6,1.28,0.89
68,"Islamic Republic of Mauritania, Mauritania",0.04,0.03,0.03,0.04,0.04,0.05,0.04,0.06,0.05,0.07,0.06,0.05,0.06,0.04,0.04
69,"Islamic Republic of Pakistan, Pakistan",0.87,1.29,1.48,1.15,1.22,1.27,1.06,1.14,0.82,1.71,1.7,1.49,1.25,1.25,1.01
70,Isle of Man,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0
71,Jamaica,0.08,0.1,0.06,0.07,0.12,0.1,0.08,0.08,0.12,0.11,0.07,0.07,0.07,0.1,0.05
72,Japan,2.18,2.58,3.08,2.68,2.45,2.76,2.42,2.27,2.29,2.38,2.43,2.94,2.23,2.2,2.26
73,"Kingdom of Bahrain, Bahrain",0.16,0.13,0.17,0.17,0.2,0.13,0.16,0.12,0.1,0.12,0.11,0.3,0.14,0.13,0.13
74,"Kingdom of Belgium, Belgium",0.59,0.61,0.5,0.46,0.53,0.47,0.47,0.34,0.44,0.32,0.37,0.28,0.31,0.29,0.38
75,"Kingdom of Bhutan, Bhutan",0.05,0.04,0.04,0.04,0.05,0.06,0.04,0.05,0.02,0.03,0.07,0.04,0.03,0.02,0.03
76,"Kingdom of Cambodia, Cambodia",0.33,0.37,0.42,0.41,0.38,0.42,0.33,0.47,0.29,0.56,0.51,0.7,0.59,0.58,0.45
77,"Kingdom of Denmark, Denmark",0.32,0.25,0.41,0.27,0.39,0.38,0.3,0.3,0.47,0.46,0.39,0.39,0.39,0.24,0.32
78,"Kingdom of Lesotho, Lesotho",0.06,0.06,0.12,0.07,0.06,0.05,0.07,0.08,0.02,0.03,0.03,0.02,0.03,0.04,0.04
79,"Kingdom of Morocco, Morocco",0.27,0.23,0.26,0.23,0.26,0.19,0.15,0.23,0.15,0.13,0.12,0.15,0.19,0.17,0.17
80,"Kingdom of Norway, Norway",0.38,0.33,0.31,0.32,0.39,0.36,0.39,0.34,0.44,0.29,0.3,0.31,0.27,0.25,0.35
81,"Kingdom of Saudi Arabia, Saudi Arabia",0.52,0.44,0.56,0.54,0.51,0.37,0.42,0.45,0.26,0.36,0.38,0.47,0.45,0.44,0.36
82,"Kingdom of Spain, Spain",1,1.02,1.13,1.24,1.35,1.16,1.05,0.86,1.46,1.19,1.28,1.13,1.47,1.22,1.14
83,"Kingdom of Swaziland, Swaziland",0.07,0.06,0.1,0.07,0.06,0.04,0.05,0.06,0.03,0.04,0.02,0.03,0.02,0.01,0.02
84,"Kingdom of Sweden, Sweden",0.7,0.65,0.6,0.47,0.63,0.62,0.63,0.5,0.71,0.47,0.5,0.42,0.39,0.29,0.43
85,"Kingdom of Thailand, Thailand",0.94,1.03,1.58,1.33,1.39,1.44,1.29,1.35,0.92,1.28,1.18,1.08,0.88,0.91,0.74
86,"Kingdom of the Netherlands, Netherlands",0.76,0.63,0.59,0.56,0.71,0.73,0.67,0.52,0.87,0.49,0.57,0.44,0.51,0.57,0.74
87,"Kingdom of Tonga, Tonga",0.02,0.02,0.01,0.02,0.04,0.04,0.06,0.06,0.03,0.07,0.04,0.05,0.03,0.04,0.03
88,"Kyrgyz Republic, Kyrgyzstan",0.12,0.09,0.1,0.06,0.08,0.18,0.14,0.11,0.11,0.12,0.31,0.13,0.12,0.11,0.1
89,"Lao People's Democratic Republic, Laos",0.19,0.19,0.24,0.23,0.26,0.26,0.21,0.23,0.19,0.27,0.26,0.35,0.27,0.19,0.19
90,Lebanon,0.83,0.51,0.5,0.29,0.24,0.48,1.37,0.62,0.34,0.4,0.38,0.3,0.44,0.54,0.34
91,Libya,0.2,0.18,0.16,0.18,0.28,0.15,0.11,0.17,0.12,0.14,0.16,1.75,0.43,0.34,0.41
92,"Macau Special Administrative Region, Macao",0.55,0.36,0.38,0.36,0.37,0.51,0.38,0.4,0.46,0.42,0.33,0.24,0.16,0.14,0.14
93,Malaysia,0.8,0.73,0.97,0.92,0.92,0.93,0.93,1.01,0.58,0.92,0.83,0.79,0.68,0.79,0.96
94,Martinique,0,0,0.01,0,0.01,0.01,0,0,NA,0,0,0,0,0,0
95,Mayotte,NA,0,0,NA,NA,NA,0,0.01,0,0,NA,0,0,NA,0
96,Mexico,0.49,0.52,0.5,0.62,0.59,0.51,0.47,0.47,0.6,0.98,0.69,0.45,0.47,0.44,0.39
97,Mongolia,0.15,0.14,0.13,0.09,0.08,0.14,0.15,0.11,0.19,0.13,0.17,0.14,0.15,0.1,0.12
98,Montenegro,0.05,0.04,0.02,0.17,0.22,0.3,0.32,0.04,0.07,0.04,0.05,0.04,0.05,0.06,0.06
99,Montserrat,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
100,Nauru,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01
101,Netherlands Antilles,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0,NA,0
102,New Zealand,0.7,0.53,0.52,0.66,0.62,0.76,0.59,0.54,0.7,0.8,0.8,0.87,0.79,0.89,0.89
103,Niue,0,0,0,0,0.02,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0,0
104,"Nouvelle-Caledonie, New Caledonia",0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0
105,"Oriental Republic of Uruguay, Uruguay",0.16,0.21,0.24,0.16,0.19,0.21,0.14,0.18,0.15,0.16,0.22,0.14,0.11,0.19,0.17
106,"Palestine, Palestinian Territory",0.34,0.32,0.61,0.37,0.26,0.18,0.25,0.17,0.12,0.15,0.15,0.21,0.16,0.13,0.18
107,"People's Democratic Republic of Algeria, Algeria",0.22,0.17,0.14,0.18,0.23,0.17,0.11,0.32,0.23,0.15,0.19,0.27,0.25,0.27,0.26
108,"People's Republic of China, China",10.61,9.45,8.74,8.63,8.51,9.78,8.94,8.91,13.07,8.91,9.49,9.96,11.15,11.36,11.61
109,"Pitcairn, Henderson, Ducie and Oeno Islands, Pitcairn",NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
110,"Plurinational State of Bolivia, Bolivia",0.12,0.1,0.09,0.15,0.17,0.18,0.15,0.16,0.23,0.16,0.12,0.09,0.08,0.14,0.1
111,"Polynesie Francaise, French Polynesia",0,0,0,0,0.01,0,0.01,0,0,0.02,0.01,0,0,0,0
112,"Portuguese Republic, Portugal",0.34,0.3,0.43,0.33,0.5,0.34,0.37,0.29,0.36,0.26,0.43,0.37,0.39,0.3,0.44
113,"Principality of Andorra, Andorra",0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01
114,"Principality of Liechtenstein, Liechtenstein",0.03,0.02,0.01,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02
115,"Principality of Monaco, Commune de Monaco, Monaco",0.06,0.03,0.06,0.05,0.11,0.08,0.04,0.04,0.05,0.05,0.04,0.03,0.02,0.04,0.07
116,Puerto Rico,0.03,0.01,0.03,0.03,0.07,0.05,0.07,0.04,0.04,0.03,0.04,0.02,0.03,0.04,0.04
117,"Repubblica di San Marino, San Marino",0.02,0.01,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.01
118,"Repubblica Italiana, Italy",1.18,1.18,1.22,1.21,1.32,1.31,1.35,1.02,1.35,1.06,0.97,1.21,1.22,1.17,1.24
119,"Republic of Albania, Albania",0.11,0.1,0.07,0.07,0.08,0.09,0.08,0.09,0.09,0.07,0.05,0.07,0.04,0.13,0.17
120,"Republic of Angola, Angola",0.43,0.42,0.36,0.31,0.26,0.21,0.27,0.33,0.21,0.19,0.15,0.13,0.12,0.11,0.12
121,"Republic of Armenia, Armenia",0.09,0.07,0.04,0.07,0.08,0.07,0.05,0.07,0.1,0.08,0.08,0.11,0.08,0.1,0.07
122,"Republic of Austria, Austria",0.53,0.43,0.34,0.36,0.42,0.5,0.43,0.43,0.54,0.41,0.35,0.34,0.29,0.29,0.38
123,"Republic of Azerbaijan, Azerbaijan",0.13,0.08,0.07,0.06,0.1,0.1,0.09,0.11,0.14,0.09,0.1,0.12,0.17,0.12,0.11
124,"Republic of Belarus, Belarus",0.24,0.24,0.15,0.19,0.2,0.25,0.23,0.3,0.35,0.23,0.31,0.3,0.27,0.22,0.23
125,"Republic of Benin, Benin",0.05,0.05,0.05,0.06,0.09,0.08,0.05,0.08,0.06,0.04,0.05,0.05,0.07,0.06,0.04
126,"Republic of Botswana, Botswana",0.16,0.14,0.15,0.13,0.13,0.08,0.11,0.13,0.05,0.06,0.07,0.1,0.12,0.13,0.1
127,"Republic of Bulgaria, Bulgaria",0.25,0.25,0.25,0.28,0.27,0.26,0.28,0.24,0.3,0.2,0.18,0.19,0.21,0.19,0.23
